distance,gauge
25.605,4.05
25.655,3.45
25.705,3.25
25.755,3.2
25.805,3.05
25.855,2.95
25.905,2.6
25.955,2.45
26.005,2.45
26.055,2.5
26.105,2.3
26.155,2.3
26.205,2.4
26.255,2.4
26.305,2.4
26.355,2.45
26.405,2.3
26.455,2.35
26.505,2.35
26.555,2.5
26.605,2.45
26.655,2.45
26.705,2.45
26.755,2.5
26.805,2.4
26.855,2.35
26.905,2.2
26.955,2
27.005,1.85
27.055,1.75
27.105,1.65
27.155,1.6
27.205,1.55
27.255,1.55
27.305,1.55
27.355,1.3
27.405,1.2
27.455,1.05
27.505,0.85
27.555,0.85
27.605,1
27.655,0.95
27.705,0.95
27.755,1.05
27.805,1.1
27.855,1.15
27.905,1.15
27.955,1.1
28.005,1.05
28.055,1.05
28.105,1.1
28.155,1
28.205,1.05
28.255,1.1
28.305,1.2
28.355,1.15
28.405,1.3
28.455,1.3
28.505,1.2
28.555,1.1
28.605,0.95
28.655,0.75
28.705,0.75
28.755,0.7
28.805,0.65
28.855,0.55
28.905,0.6
28.955,0.5
29.005,0.45
29.055,0.4
29.105,0.4
29.155,0.3
29.205,0.3
29.255,0.25
29.305,0.2
29.355,-0.05
29.405,-0.1
29.455,-0.35
29.505,-0.4
29.555,-0.55
29.605,-0.6
29.655,-0.65
29.705,-0.7
29.755,-0.7
29.805,-0.75
29.855,-0.75
29.905,-0.65
29.955,-0.6
30.005,-0.6
30.055,-0.3
30.105,-0.4
30.155,-0.2
30.205,-0.25
30.255,0
30.305,-0.1
30.355,-0.1
30.405,0
30.455,-0.05
30.505,0
30.555,-0.15
30.605,0.1
30.655,-0.15
30.705,0
30.755,0.05
30.805,0.3
30.855,0.45
30.905,0.6
30.955,0.55
31.005,0.6
31.055,0.75
31.105,0.85
31.155,1
31.205,1.15
31.255,1.35
31.305,1.25
31.355,1.45
31.405,1.45
31.455,1.3
31.505,1.45
31.555,1.55
31.605,1.45
31.655,1.7
31.705,2.05
31.755,2
31.805,2.15
31.855,2.35
31.905,2.4
31.955,2.7
32.005,2.6
32.055,2.8
32.105,3.25
32.155,3.25
32.205,3.4
32.255,3.3
32.305,3.3
32.355,4
32.405,3.6
32.455,3.15
32.505,2.1
32.555,2.55
32.605,3.55
32.655,2.65
32.705,2.85
32.755,2.65
32.805,2.2
32.855,2.15
32.905,2.7
32.955,2.7
33.005,3.2
33.055,3.25
33.105,3.35
33.155,3.3
33.205,3.3
33.255,3.35
33.305,3.3
33.355,3.4
33.405,3.5
33.455,4
33.505,3.15
33.555,3.55
33.605,3.4
33.655,3.3
33.705,3.5
33.755,3.55
33.805,3.05
33.855,3.55
33.905,3.55
33.955,3.35
34.005,2.7
34.055,2.95
34.105,4.05
34.155,4.65
34.205,4.55
34.255,4.3
34.305,3.55
34.355,3.2
34.405,2.95
34.455,3.15
34.505,3.35
34.555,3.85
34.605,4.05
34.655,2.85
34.705,2.85
34.755,2.9
34.805,2.8
34.855,2.75
34.905,2.65
34.955,2.55
35.005,2.4
35.055,2.2
35.105,2.25
35.155,2.2
35.205,2.15
35.255,2.25
35.305,2.3
35.355,2.15
35.405,2.35
35.455,2.4
35.505,2.3
35.555,2.3
35.605,2.4
35.655,2.35
35.705,2.4
35.755,2.35
35.805,2.4
35.855,2.35
35.905,2.35
35.955,2.25
36.005,2.1
36.055,1.95
36.105,1.8
36.155,1.7
36.205,1.6
36.255,1.5
36.305,1.55
36.355,1.45
36.405,1.35
36.455,1.35
36.505,1.05
36.555,0.95
36.605,0.85
36.655,0.8
36.705,0.9
36.755,0.8
36.805,0.95
36.855,1
36.905,1.1
36.955,1.1
37.005,1.2
37.055,1.05
37.105,1
37.155,1
37.205,0.95
37.255,1
37.305,1.1
37.355,1.1
37.405,1.15
37.455,1.15
37.505,1.25
37.555,1.35
37.605,1.2
37.655,1.1
37.705,1
37.755,0.75
37.805,0.7
37.855,0.65
37.905,0.55
37.955,0.7
38.005,0.65
38.055,0.55
38.105,0.5
38.155,0.5
38.205,0.45
38.255,0.45
38.305,0.4
38.355,0.3
38.405,0.3
38.455,0.15
38.505,-0.05
38.555,-0.15
38.605,-0.15
38.655,-0.25
38.705,-0.3
38.755,-0.4
38.805,-0.4
38.855,-0.35
38.905,-0.5
38.955,-0.4
39.005,-0.35
39.055,-0.35
39.105,-0.25
39.155,0.2
39.205,-0.1
39.255,0.05
39.305,0.2
39.355,0.3
39.405,0.3
39.455,0.25
39.505,0.35
39.555,0.3
39.605,0.25
39.655,0.2
39.705,0.4
39.755,0.2
39.805,0.3
39.855,0.3
39.905,0.6
39.955,0.75
40.005,0.7
40.055,0.8
40.105,0.9
40.155,0.95
40.205,0.95
40.255,1.25
40.305,1.4
40.355,1.65
40.405,1.65
40.455,1.65
40.505,1.75
40.555,1.7
40.605,1.85
40.655,1.95
40.705,1.9
40.755,2
40.805,2.4
40.855,2.4
40.905,2.65
40.955,2.6
41.005,2.75
41.055,2.8
41.105,2.9
41.155,3.1
41.205,3.65
41.255,3.4
41.305,3.5
41.355,3.55
41.405,3.35
41.455,3.75
41.505,3.45
41.555,3.45
41.605,2.05
41.655,3.1
41.705,3.9
41.755,2.95
41.805,3
41.855,2.85
41.905,2.25
41.955,2.4
42.005,2.75
42.055,2.8
42.105,3
42.155,3.15
42.205,3.35
42.255,3.3
42.305,3.45
42.355,3.5
42.405,3.15
42.455,3.45
42.505,3.4
42.555,4.15
42.605,3.15
42.655,3.55
42.705,3.55
42.755,3.7
42.805,3.2
42.855,4
42.905,3
42.955,3.45
43.005,3.1
43.055,3.4
43.105,2.55
43.155,2.95
43.205,4.05
43.255,4.5
43.305,4.6
43.355,4.15
43.405,3.25
43.455,4.1
43.505,2.85
43.555,2.85
43.605,2.9
43.655,2.85
43.705,2.75
43.755,2.6
43.805,2.6
43.855,2.45
43.905,2.2
43.955,2.25
44.005,2.15
44.055,2.2
44.105,2.1
44.155,2.2
44.205,2.3
44.255,2.3
44.305,2.45
44.355,2.35
44.405,2.45
44.455,2.45
44.505,2.4
44.555,2.45
44.605,2.45
44.655,2.6
44.705,2.65
44.755,2.55
44.805,2.6
44.855,2.45
44.905,2.3
44.955,2.3
45.005,1.9
45.055,1.85
45.105,1.8
45.155,1.85
45.205,1.75
45.255,1.85
45.305,1.65
45.355,1.5
45.405,1.25
45.455,1.1
45.505,1.05
45.555,1.15
45.605,1.1
45.655,1.15
45.705,1.15
45.755,1.2
45.805,1.3
45.855,1.25
45.905,1.35
45.955,1.2
46.005,1.2
46.055,1.1
46.105,1.2
46.155,1.2
46.205,1.35
46.255,1.3
46.305,1.35
46.355,1.5
46.405,1.5
46.455,1.45
46.505,1.35
46.555,1.15
46.605,1.1
46.655,0.95
46.705,0.85
46.755,0.8
46.805,0.75
46.855,0.8
46.905,0.75
46.955,0.65
47.005,0.65
47.055,0.65
47.105,0.55
47.155,0.45
47.205,0.45
47.255,0.35
47.305,0.25
47.355,0.05
47.405,0
47.455,-0.15
47.505,-0.2
47.555,-0.25
47.605,-0.4
47.655,-0.35
47.705,-0.45
47.755,-0.45
47.805,-0.45
47.855,-0.4
47.905,-0.25
47.955,-0.2
48.005,0.3
48.055,0
48.105,0.05
48.155,0.2
48.205,0.3
48.255,0.35
48.305,0.15
48.355,0.3
48.405,0.25
48.455,0.3
48.505,0.25
48.555,0.4
48.605,0.15
48.655,0.3
48.705,0.25
48.755,0.45
48.805,0.75
48.855,0.75
48.905,0.75
48.955,0.9
49.005,1.05
49.055,1
49.105,1.15
49.155,1.45
49.205,1.5
49.255,1.45
49.305,1.65
49.355,1.7
49.405,1.65
49.455,1.8
49.505,1.95
49.555,1.85
49.605,2.1
49.655,2.35
49.705,2.4
49.755,2.65
49.805,2.75
49.855,2.7
49.905,2.75
49.955,2.95
50.005,3.1
50.055,3.35
50.105,3.45
50.155,3.55
50.205,3.45
50.255,3.4
50.305,4
50.355,3.85
50.405,3.3
50.455,2
50.505,2.8
50.555,3.8
50.605,2.9
50.655,3.15
50.705,2.75
50.755,2.1
50.805,2.35
50.855,2.7
50.905,2.85
50.955,3.2
51.005,3.25
51.055,3.45
51.105,3.4
51.155,3.35
51.205,3.4
51.255,3.15
51.305,3.4
51.355,3.45
51.405,4.1
51.455,3.15
51.505,3.55
51.555,3.55
51.605,3.35
51.655,3.15
51.705,3.85
51.755,3
51.805,3.35
51.855,3.15
51.905,3.15
51.955,2.6
52.005,2.9
52.055,4.05
52.105,4.5
52.155,4.5
52.205,4.25
52.255,3.65
52.305,3.05
52.355,3
52.405,2.8
52.455,3.1
52.505,3.8
52.555,3.4
52.605,3.25
52.655,3.35
52.705,2.9
52.755,3.35
52.805,3.15
52.855,3.6
52.905,2.4
52.955,3.65
53.005,4.05
53.055,4.1
53.105,3.1
53.155,2.9
53.205,2.8
53.255,3.05
53.305,2.95
53.355,3.8
53.405,2.75
53.455,2.9
53.505,2.75
53.555,3.65
53.605,3.75
53.655,4.05
53.705,2.9
53.755,2.85
53.805,2.9
53.855,2.85
53.905,2.75
53.955,2.65
54.005,2.55
54.055,2.45
54.105,2.25
54.155,2.25
54.205,2.15
54.255,2.15
54.305,2.2
54.355,2.25
54.405,2.3
54.455,2.35
54.505,2.4
54.555,2.35
54.605,2.3
54.655,2.4
54.705,2.3
54.755,2.5
54.805,2.45
54.855,2.5
54.905,2.45
54.955,2.3
55.005,2.35
55.055,2.15
55.105,1.95
55.155,1.9
55.205,1.8
55.255,1.65
55.305,1.5
55.355,1.55
55.405,1.5
55.455,1.5
55.505,1.3
55.555,1.15
55.605,0.75
55.655,0.8
55.705,0.8
55.755,0.8
55.805,0.85
55.855,0.95
55.905,0.95
55.955,1
56.005,1.1
56.055,1
56.105,1.1
56.155,0.9
56.205,0.85
56.255,0.9
56.305,0.95
56.355,1
56.405,1.1
56.455,1.1
56.505,1.2
56.555,1.35
56.605,1.4
56.655,1.25
56.705,1.05
56.755,0.9
56.805,0.75
56.855,0.7
56.905,0.6
56.955,0.55
57.005,0.55
57.055,0.55
57.105,0.55
57.155,0.5
57.205,0.45
57.255,0.45
57.305,0.35
57.355,0.35
57.405,0.3
57.455,0.25
57.505,0.05
57.555,-0.05
57.605,-0.15
57.655,-0.25
57.705,-0.25
57.755,-0.35
57.805,-0.4
57.855,-0.4
57.905,-0.45
57.955,-0.45
58.005,-0.4
58.055,-0.45
58.105,-0.3
58.155,-0.3
58.205,0.2
58.255,0
58.305,0.05
58.355,0.15
58.405,0.35
58.455,0.3
58.505,0.25
58.555,0.35
58.605,0.25
58.655,0.3
58.705,0.25
58.755,0.35
58.805,0.2
58.855,0.3
58.905,0.4
58.955,0.65
59.005,0.7
59.055,0.75
59.105,0.85
59.155,0.95
59.205,1
59.255,1.05
59.305,1.3
59.355,1.45
59.405,1.65
59.455,1.85
59.505,1.65
